,numquartier,ref,nb_logmt_total,nombre_de_commerce
0,1,28.231250000000003,215,4
1,2,25.243750000000002,445,25
2,3,28.231250000000006,137,9
3,4,28.231250000000003,12,15
4,5,28.231250000000006,5,5
5,6,27.140625000000004,19,20
6,7,27.140625000000007,323,17
7,8,27.140625,175,26
8,9,27.140625,339,21
9,10,27.140624999999996,282,27
10,11,27.140625,343,16
11,12,27.140625000000004,232,16
12,13,28.231250000000006,290,16
13,14,27.140625000000004,683,40
14,15,28.231250000000006,399,17
15,16,28.231250000000006,25,5
16,17,27.140625000000004,139,33
17,18,25.165625,421,15
18,19,27.140625000000004,449,23
19,20,27.140624999999996,250,20
20,21,28.231250000000003,45,30
21,22,28.231250000000003,55,29
22,23,30.190625,489,47
23,24,28.231250000000006,104,10
24,25,30.190624999999994,168,15
25,26,30.190625000000004,366,11
26,27,30.190624999999997,132,9
27,28,30.190625000000004,81,40
28,29,28.231250000000006,14,5
29,30,28.231250000000003,353,16
30,31,28.231250000000006,51,23
31,32,27.590625,415,35
32,33,25.24375,752,41
33,34,28.231250000000003,339,10
34,35,25.243749999999995,420,28
35,36,25.243750000000006,386,36
36,37,25.24375,1305,30
37,38,25.24375,666,45
38,39,23.978125,967,51
39,40,23.978125,1423,20
40,41,23.978124999999995,887,31
41,42,25.165625,1188,43
42,43,23.978125,1905,84
43,44,25.165625000000002,1605,68
44,45,22.7,3582,20
45,46,23.084375,3360,56
46,47,22.7,921,9
47,48,23.978125,1856,80
48,49,25.165624999999995,951,20
49,50,20.703125,9110,43
50,51,24.46875,3740,37
51,52,25.243749999999995,774,13
52,53,25.243749999999995,775,42
53,54,23.978125,1622,7
54,55,25.165625,1659,40
55,56,24.468749999999996,3681,72
56,57,24.512499999999996,5827,62
57,58,26.537499999999998,1251,30
58,59,25.431249999999995,1116,51
59,60,25.431249999999995,2838,35
60,61,25.431250000000006,3784,30
61,62,27.590625000000003,296,39
62,63,27.590625000000003,446,11
63,64,27.590625000000003,95,17
64,65,26.5375,1166,39
65,66,26.5375,2809,40
66,67,25.165625000000002,2140,47
67,68,23.978124999999995,2622,39
68,69,23.084375,1734,55
69,70,23.084375000000005,2560,61
70,71,23.978125,3562,17
71,72,20.703125,1498,24
72,73,20.703124999999996,2680,30
73,74,20.703125,3318,12
74,75,20.703125,4347,15
75,76,22.700000000000006,1026,26
76,77,23.978125,1542,29
77,78,20.703124999999996,2721,20
78,79,22.700000000000003,2781,47
79,80,20.703125,5553,22
