,id_quartier,nombreent,CA 1
0,1.0,99,78741306.04040404
1,2.0,732,3652209.62568306
2,3.0,559,3363643.7137745973
3,4.0,603,10484956.938640133
4,5.0,600,6018874.388333334
5,6.0,544,5537765.681985294
6,7.0,505,6105698.835643564
7,8.0,504,1708492.267857143
8,9.0,396,154506241.0151515
9,10.0,249,1422401.7951807228
10,11.0,294,3023433.017006803
11,12.0,240,4027418.841666667
12,13.0,285,2016378.7157894736
13,14.0,222,1122918.6486486488
14,15.0,270,1703270.4555555556
15,16.0,82,1089989.524390244
16,17.0,302,1207623.9105960266
17,18.0,200,1957967.055
18,19.0,281,1717349.2882562277
19,20.0,302,1708256.3509933774
20,21.0,240,1790548.8708333333
21,22.0,242,1716875.1818181819
22,23.0,577,2037689.870017331
23,24.0,197,2189393.4162436547
24,25.0,400,4298275.4225
25,26.0,207,6252943.797101449
26,27.0,186,735492.0053763441
27,28.0,639,5784372.295774648
28,29.0,1230,12751576.749593496
29,30.0,2510,6788415.453386454
30,31.0,2296,9846318.880226482
31,32.0,1867,7232969.075522228
32,33.0,848,7647412.0
33,34.0,1379,6862653.575054388
34,35.0,1000,4301674.651
35,36.0,507,8037271.942800789
36,37.0,525,1868491.5847619048
37,38.0,685,5970502.064233577
38,39.0,493,2292410.5598377283
39,40.0,341,2058294.0762463342
40,41.0,590,1621806.8423728812
41,42.0,518,1452410.4285714286
42,43.0,702,2161754.9928774927
43,44.0,673,1595500.778603269
44,45.0,321,2945113.0560747664
45,46.0,616,1684234.3685064935
46,47.0,160,13582874.9125
47,48.0,682,5529266.9457478
48,49.0,250,43127456.372
49,50.0,582,12048830.70274914
50,51.0,540,4660832.687037037
51,52.0,160,2026566.61875
52,53.0,352,1270338.2528409092
53,54.0,154,11955361.850649351
54,55.0,409,1640830.1124694378
55,56.0,472,5972834.934322034
56,57.0,808,51494285.37128713
57,58.0,611,6405689.387888707
58,59.0,640,11661519.5265625
59,60.0,651,58411653.7265745
60,61.0,892,3719390.9058295963
61,62.0,783,4361367.56449553
62,63.0,652,2743025.107361963
63,64.0,1501,52072974.52165223
64,65.0,1160,5796541.059482759
65,66.0,1023,4716073.723362659
66,67.0,602,3507552.7707641195
67,68.0,461,2372095.184381779
68,69.0,735,1371430.7931972789
69,70.0,708,1279727.663841808
70,71.0,182,960061.8076923077
71,72.0,176,3315015.653409091
72,73.0,296,3440797.9662162163
73,74.0,243,14321279.399176955
74,75.0,354,4692823.169491526
75,76.0,280,1087702.175
76,77.0,390,439980.8461538461
77,78.0,200,849005.09
78,79.0,432,761890.9513888889
79,80.0,415,1267117.881927711
